"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23"
"01","CANADA",35151728.00,8965588.85,3.90,41.00,40.10,41.90,2.40,27488525.00,34204.00,15878940.00,1494830.00,1391055.00,3228840.00,5314300.00,4449920.00,15878940.00,222135.00,877985.00,1968220.00,11748095.00,868920.00,193590.00
"10","Newfoundland and Labrador",519716.00,370514.08,1.40,43.70,42.90,44.40,2.30,422335.00,31754.00,206090.00,14850.00,6485.00,20960.00,68435.00,95355.00,206090.00,310.00,10005.00,5180.00,167405.00,16255.00,6925.00
"11","Prince Edward Island",142907.00,5686.03,25.10,42.70,41.70,43.60,2.30,113480.00,31744.00,63060.00,2095.00,2885.00,7160.00,21815.00,29115.00,63065.00,305.00,3380.00,815.00,53200.00,4730.00,635.00
"12","Nova Scotia",923598.00,52942.27,17.40,43.50,42.50,44.40,2.30,744260.00,31813.00,397570.00,21815.00,24405.00,69795.00,145310.00,136250.00,397570.00,2480.00,24865.00,25315.00,310240.00,29150.00,5520.00
"13","New Brunswick",747101.00,71388.81,10.50,43.60,42.70,44.50,2.30,594710.00,30961.00,318285.00,12345.00,12945.00,39235.00,118070.00,135695.00,318285.00,1205.00,14655.00,7290.00,266040.00,24455.00,4645.00
"24","Quebec",8164361.00,1356625.27,6.00,41.90,40.90,42.90,2.30,6417615.00,32975.00,3672440.00,315035.00,343540.00,777955.00,1200455.00,1035455.00,3672440.00,54625.00,205355.00,503290.00,2739405.00,133760.00,36010.00
"35","Ontario",13448494.00,908699.33,14.80,41.00,40.00,41.90,2.60,10556935.00,33539.00,6092710.00,756385.00,612410.00,1295380.00,1964695.00,1463845.00,6092715.00,75460.00,320015.00,888920.00,4375215.00,372475.00,60625.00
"46","Manitoba",1278365.00,552370.99,2.30,39.20,38.20,40.20,2.50,954040.00,34188.00,573000.00,27470.00,36755.00,115085.00,208570.00,185115.00,573000.00,8170.00,32330.00,53740.00,431755.00,40590.00,6410.00
"47","Saskatchewan",1098352.00,588243.54,1.90,39.10,38.20,40.00,2.50,822620.00,38299.00,483865.00,21205.00,17630.00,53345.00,179160.00,212525.00,483865.00,5475.00,27120.00,13825.00,402405.00,27960.00,7075.00
"48","Alberta",4067175.00,640330.46,6.40,37.80,37.20,38.40,2.60,3053470.00,42717.00,1927375.00,130665.00,148620.00,422065.00,706940.00,519085.00,1927375.00,21920.00,85800.00,194560.00,1497435.00,99640.00,28015.00
"59","British Columbia",4648055.00,922503.01,5.00,42.30,41.50,43.10,2.40,3727360.00,33012.00,2093140.00,191305.00,184685.00,425680.00,689520.00,601950.00,2093140.00,51345.00,142315.00,274205.00,1475580.00,114580.00,35110.00
"60","Yukon Territory",35874.00,474712.68,0.10,39.10,38.80,39.40,2.30,27970.00,45804.00,18345.00,555.00,460.00,1395.00,6195.00,9735.00,18340.00,475.00,1735.00,725.00,13995.00,1095.00,320.00
"61","Northwest Territories",41786.00,1143793.86,0.00,34.90,35.10,34.80,2.70,31295.00,50618.00,20625.00,790.00,180.00,640.00,3810.00,15205.00,20630.00,335.00,4910.00,255.00,11815.00,2005.00,1305.00
"62","Nunavut",35944.00,1877778.53,0.00,27.70,27.80,27.50,3.60,22435.00,29743.00,12435.00,315.00,60.00,145.00,1325.00,10585.00,12430.00,15.00,5495.00,100.00,3605.00,2220.00,995.00
